Region;2000 Forest Area;2000 Land Area;2000 Proportion Calculated;2000 Proportion SDG;Differenz;2010 Forest Area;2010 Land Area;2010 Proportion Calculated;2010 Proportion SDG;Differenz;2020 Forest Area;2020 Land Area;2020 Proportion Calculated;2020 Proportion SDG;Differenz;Nature Forest Area;Nature Land Area;Nature Proportion;Aggregate;Entwicklung Waldfläche effektiv;Entwicklung Waldfläche proportional;Region
Uganda;3162.95;19981.00;15.83;15.83;0.00;2750.42;20052;13.72;13.72;0.00;2337.90;20052.00;11.66;11.66;0.00;;;;;-825.05;-4.17;Uganda
Ukraine;9510.00;57935.00;16.41;16.41;0.00;9548.00;57932;16.48;16.48;0.00;9690.00;57940.00;16.72;16.72;0.00;;;;;180.00;0.31;Ukraine
United Arab Emirates;309.43;7102.00;4.36;4.36;0.00;317.30;7102;4.47;4.47;0.00;317.30;7102.00;4.47;4.47;0.00;;;;;7.87;0.11;United Arab Emirates
United Kingdom of Great Britain and Northern Ireland;2954.00;24193.00;12.21;12.21;0.00;3059.00;24193;12.64;12.64;0.00;3190.00;24193.00;13.19;13.19;0.00;;;;;236.00;0.98;United Kingdom of Great Britain and Northern Ireland
United Republic of Tanzania;53670.01;88580.00;60.59;60.59;0.00;49950.01;88580;56.39;56.39;0.00;45745.00;88580.00;51.64;51.64;0.00;;;;;-7925.01;-8.95;United Republic of Tanzania
United States Minor Outlying Islands;0.00;3.42;0.00;0.00;0.00;0.00;3.42;0.00;0.00;0.00;0.00;3.42;0.00;0.00;0.00;;;;;0.00;0.00;United States Minor Outlying Islands
United States of America;303536.00;916192.00;33.13;33.13;0.00;308720.00;914742;33.75;33.75;0.00;309795.00;914742.00;33.87;33.87;0.00;;;;;6259.00;0.74;United States of America
United States Virgin Islands;20.47;35.00;58.49;58.49;0.00;18.43;35;52.66;52.66;0.00;19.91;35.00;56.89;56.89;0.00;;;;;-0.56;-1.60;United States Virgin Islands
Uruguay;1369.00;17502.00;7.82;7.82;0.00;1731.30;17502;9.89;9.89;0.00;2031.00;17502.00;11.60;11.60;0.00;;;;;662.00;3.78;Uruguay
Uzbekistan;2961.46;43596.50;6.79;6.79;0.00;3349.60;43589.2;7.68;7.68;0.00;3689.66;44058.70;8.37;8.37;0.00;;;;;728.20;1.58;Uzbekistan
Vanuatu;442.30;1219.00;36.28;36.28;0.00;442.30;1219;36.28;36.28;0.00;442.30;1219.00;36.28;36.28;0.00;;;;;0.00;0.00;Vanuatu
Venezuela (Bolivarian Republic of);49151.00;88205.00;55.72;55.72;0.00;47505.00;88205;53.86;53.86;0.00;46230.90;88205.00;52.41;52.41;0.00;;;;;-2920.10;-3.31;Venezuela (Bolivarian Republic of)
Viet Nam;11784.10;31106.00;37.88;37.88;0.00;13388.06;31007;43.18;43.18;0.00;14643.09;31007.00;47.23;47.23;0.00;;;;;2858.99;9.34;Viet Nam
Wallis and Futuna Islands;5.81;14.00;41.50;41.50;0.00;5.82;14;41.57;41.57;0.00;5.83;14.00;41.64;41.64;0.00;;;;;0.02;0.14;Wallis and Futuna Islands
Western Africa;95984.11;606406.00;15.83;15.83;0.00;89724.66;606406;14.80;14.80;0.00;84378.57;606406.00;13.91;13.91;0.00;;;;yes;-11605.54;-1.91;Western Africa
Western Asia;27891.91;479503.50;5.82;5.82;0.00;29010.32;479247.8;6.05;6.05;0.00;30266.33;479218.20;6.32;6.32;0.00;;;;yes;2374.42;0.50;Western Asia
Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia);23486.84;458359.00;5.12;5.12;0.00;24498.03;458098.2;5.35;5.35;0.00;25671.16;458068.80;5.60;5.60;0.00;;;;yes;2184.32;0.48;Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)
Western Europe;32796.52;108525.30;30.22;30.22;0.00;34084.67;108481.6027;31.42;31.42;0.00;34994.46;108551.51;32.24;32.24;0.00;;;;yes;2197.94;2.02;Western Europe
Western Sahara;669.31;26600.00;2.52;2.52;0.00;665.11;26600;2.50;2.50;0.00;665.07;26600.00;2.50;2.50;0.00;;;;;-4.24;-0.02;Western Sahara
World;4158239.52;13030626.02;31.91;31.91;0.00;4106316.94;13028129.08;31.52;31.52;0.00;4058930.81;13029372.41;31.15;31.16;0.00;;;;yes;-99308.71;-0.76;World
Yemen;549.00;52797.00;1.04;1.04;0.00;549.00;52797;1.04;1.04;0.00;549.00;52797.00;1.04;1.04;0.00;;;;;0.00;0.00;Yemen
Zambia;47054.00;74339.00;63.30;63.30;0.00;46696.00;74339;62.81;62.81;0.00;44814.03;74339.00;60.28;60.28;0.00;;;;;-2239.97;-3.01;Zambia
Zimbabwe;18365.98;38685.00;47.48;47.48;0.00;17905.28;38685;46.28;46.28;0.00;17444.58;38685.00;45.09;45.09;0.00;;;;;-921.40;-2.38;Zimbabwe
;;;;;;;;;;;;;;;;;;;;;;
