Region;2000 Forest Area;2000 Land Area;2000 Proportion Calculated;2000 Proportion SDG;Differenz;2010 Forest Area;2010 Land Area;2010 Proportion Calculated;2010 Proportion SDG;Differenz;2020 Forest Area;2020 Land Area;2020 Proportion Calculated;2020 Proportion SDG;Differenz;Nature Forest Area;Nature Land Area;Nature Proportion;Aggregate;Entwicklung Waldfläche effektiv;Entwicklung Waldfläche proportional;Region
Norfolk Island;0.49;4.00;12.25;12.25;0.00;0.49;4;12.25;12.25;0.00;0.49;4.00;12.25;12.25;0.00;;;;;0.00;0.00;Norfolk Island
North Macedonia;957.55;2543.00;37.65;37.65;0.00;960.43;2522;38.08;38.08;0.00;1001.49;2522.00;39.71;39.71;0.00;;;;;43.94;2.06;North Macedonia
Northern Africa;30525.07;785374.12;3.89;3.89;0.00;29308.92;785374.1206;3.73;3.73;0.00;27680.82;785362.47;3.52;3.52;0.00;;;;yes;-2844.25;-0.36;Northern Africa
Northern Africa (exc. Sudan);8698.91;600439.00;1.45;1.45;0.00;9227.75;600439;1.54;1.54;0.00;9321.27;600439.10;1.55;1.55;0.00;;;;yes;622.36;0.10;Northern Africa (exc. Sudan)
Northern Africa and Western Asia;58416.98;1264877.62;4.62;4.62;0.00;58319.24;1264621.921;4.61;4.61;0.00;57947.15;1264580.67;4.58;4.58;0.00;;;;yes;-469.83;-0.04;Northern Africa and Western Asia
Northern America;651340.86;1853824.40;35.13;35.13;0.00;656044.87;1852374.4;35.42;35.42;0.00;656725.54;1852374.40;35.45;35.45;0.00;;;;yes;5384.68;0.32;Northern America
Northern Europe;74411.69;170245.20;43.71;43.75;-0.05;74710.24;170180.1;43.90;43.95;-0.05;75275.56;170011.99;44.28;44.32;-0.05;;;;yes;863.87;0.57;Northern Europe
Northern Mariana Islands;31.96;46.00;69.48;69.48;0.00;30.32;46;65.91;65.91;0.00;24.36;46.00;52.96;52.96;0.00;;;;;-7.60;-16.52;Northern Mariana Islands
Norway;12113.00;30424.60;39.81;39.81;0.00;12102.00;30424.6;39.78;39.78;0.00;12180.00;30410.99;40.05;40.05;0.00;;;;;67.00;0.24;Norway
Oceania;183328.45;848690.89;21.60;21.60;0.00;181015.04;848690.89;21.33;21.33;0.00;185248.02;849662.89;21.80;21.80;0.00;;;;yes;1919.57;0.20;Oceania
Oceania (exc. Australia and New Zealand);41663.42;54074.22;77.05;77.05;0.00;41620.33;54074.22;76.97;76.97;0.00;41349.84;54074.22;76.47;76.47;0.00;;;;yes;-313.58;-0.58;Oceania (exc. Australia and New Zealand)
Oman;3.00;30950.00;0.01;0.01;0.00;3.00;30950;0.01;0.01;0.00;2.50;30950.00;0.01;0.01;0.00;;;;;-0.50;0.00;Oman
Pakistan;4511.26;77088.00;5.85;5.85;0.00;4093.73;77088;5.31;5.31;0.00;3725.90;77088.00;4.83;4.83;0.00;;;;;-785.36;-1.02;Pakistan
Palau;39.58;46.00;86.04;86.04;0.00;40.56;46;88.17;88.17;0.00;41.41;46.00;90.02;90.02;0.00;;;;;1.83;3.98;Palau
